Date,Sales,Rank,Price
11/18/16,2,25722,84.99
11/21/16,4,14450,83.82
11/25/16,3,22347,82.26
11/29/16,7,8497,80.7
12/3/16,13,5596,79
12/7/16,27,2506,79
12/11/16,35,1844,79
12/15/16,55,1086,79
12/19/16,21,3042,79
12/23/16,35,1812,80.26
12/27/16,56,1050,81.94
12/31/16,46,1341,83.62
1/4/17,41,1483,84
1/7/17,59,987,81.03
1/11/17,133,331,80.32
1/15/17,145,296,82.96
1/19/17,101,481,84.99
1/23/17,55,1086,84.99
1/27/17,58,999,84.99
1/31/17,53,1147,84.34
2/4/17,49,1263,81.71
2/8/17,54,1125,84.99
2/12/17,40,1526,84.07
2/16/17,48,1296,83.15
2/20/17,46,1354,82.23
2/24/17,58,996,81.31
2/28/17,82,649,80.39
3/3/17,93,553,79.7
3/7/17,145,294,80.06
3/11/17,86,611,84.99
3/15/17,77,690,84.99
3/19/17,49,1262,84.99
3/23/17,58,1008,79
3/27/17,61,915,84.39
3/31/17,60,937,83.19
4/4/17,41,1480,81.99
4/8/17,49,1261,80.79
4/12/17,47,1309,79.59
4/16/17,95,528,80.11
4/20/17,58,995,85.02
4/24/17,36,1694,85.14
4/28/17,36,1739,85.26
5/1/17,36,1680,85.35
5/5/17,58,1009,85.47
5/9/17,29,2363,85.59
5/13/17,27,2562,85.71
5/17/17,32,2116,85.83
5/21/17,33,1945,85.95
5/25/17,36,1742,86.07
5/29/17,24,2777,86.19
6/2/17,33,1990,86.31
6/6/17,32,2052,86.43
6/10/17,37,1658,86.55
6/14/17,48,1302,86.67
6/18/17,34,1936,86.79
6/22/17,50,1226,86.91
6/25/17,30,2273,87
6/29/17,27,2568,87.12
7/3/17,28,2403,85.86
7/7/17,30,2239,79.98
7/11/17,72,742,84.99
7/15/17,43,1433,84.99
7/19/17,64,840,84.99
7/23/17,30,2244,84.99
7/27/17,48,1288,84.99
7/31/17,33,2000,83.15
8/4/17,44,1412,79.47
8/8/17,105,442,83.35
8/12/17,66,794,84.93
8/16/17,47,1318,84.85
8/19/17,60,937,84.79
8/23/17,68,778,84.71
8/27/17,45,1366,84.63
8/31/17,53,1155,84.55
9/4/17,44,1393,84.47
9/8/17,49,1249,84.39
9/12/17,52,1176,84.31
9/16/17,28,2470,84.23
9/20/17,53,1150,84.15
9/24/17,31,2134,78.74
9/28/17,34,1900,72.06
10/2/17,41,1481,65.38
10/6/17,21,3025,58.7
10/10/17,26,2631,52.02
10/13/17,34,1873,47.01
10/17/17,31,2139,40.33
10/21/17,10,6527,33.65
10/25/17,30,2289,26.97
10/29/17,13,5450,84.83
11/2/17,27,2527,84.19
11/6/17,26,2581,83.55
11/10/17,34,1922,82.91
11/14/17,37,1592,82.27
11/18/17,20,3156,81.63
11/22/17,21,3079,80.99
11/26/17,17,3973,80.35
11/30/17,19,3463,79.71
12/4/17,18,3576,79
12/8/17,58,1007,84.99
12/11/17,29,2328,81.27
12/15/17,32,2076,82.91
12/19/17,38,1571,82.36
12/23/17,74,719,82.62
12/27/17,33,2007,79
12/31/17,21,3060,82.02
1/4/18,70,759,84.99
1/8/18,98,508,82
1/12/18,110,400,80.98
1/16/18,126,352,83.62
1/20/18,53,1141,82.61
1/24/18,80,666,79.16
1/28/18,109,403,79.8
2/1/18,116,382,79.57
2/4/18,132,335,79.15
2/8/18,154,268,79
2/12/18,164,239,79
2/16/18,157,260,79
2/20/18,185,191,79
2/24/18,168,225,79
2/28/18,163,240,79
3/4/18,149,283,79
3/8/18,166,233,79
3/12/18,152,273,79
3/16/18,145,296,79
3/20/18,154,267,79
3/24/18,151,276,79
3/28/18,157,259,79
3/31/18,145,295,79
4/4/18,177,200,79
4/8/18,115,383,79
4/12/18,160,249,79
4/16/18,157,258,79
4/20/18,164,238,77.68
4/24/18,154,267,76.36
4/28/18,146,293,75.04
5/2/18,183,193,73.72
5/6/18,174,207,74.79
5/10/18,164,238,79.66
5/14/18,168,227,79.84
5/18/18,143,301,79.64
5/22/18,146,291,79.44
5/25/18,159,252,79.29
5/29/18,231,143,79.09
6/2/18,245,129,78.82
6/6/18,206,169,78.62
6/10/18,173,210,78.42
6/14/18,199,177,78.22
6/18/18,174,208,78
6/22/18,159,254,78
6/26/18,166,233,78
6/30/18,147,290,78
7/4/18,148,285,78
7/8/18,163,240,78
7/12/18,184,192,78
7/16/18,163,242,78.41
7/20/18,134,328,79
7/23/18,167,228,79
7/27/18,163,240,79
7/31/18,205,170,79
8/4/18,227,147,79
8/8/18,198,178,79
8/12/18,166,231,79
8/16/18,153,270,79
8/20/18,170,221,79
8/24/18,151,278,79
8/28/18,161,246,79
9/1/18,196,180,79
9/5/18,233,141,79
9/9/18,207,168,79
9/13/18,227,147,79
9/16/18,169,223,79
9/20/18,180,197,79
9/24/18,185,191,79
9/28/18,175,204,79
10/2/18,214,161,79
10/6/18,171,216,79
10/10/18,206,169,79
10/14/18,191,185,79
10/18/18,201,175,79
10/22/18,194,182,79
10/26/18,200,176,79
10/30/18,207,168,79
11/3/18,194,182,79
11/7/18,233,141,79
11/10/18,158,256,79
11/14/18,213,162,79
11/18/18,160,249,79
11/22/18,60,939,79
11/26/18,55,1104,79
11/30/18,61,928,79
12/4/18,54,1133,78.98
12/8/18,42,1472,78.94
12/12/18,53,1151,78.9
12/16/18,42,1451,78.86
12/20/18,37,1609,78.82
12/24/18,58,1004,78.78
12/28/18,58,1010,78.74
1/1/19,61,914,78.7
1/4/19,83,644,78.67
1/8/19,78,689,78.63
1/12/19,91,565,78.59
1/16/19,97,517,78.55
1/20/19,74,723,78.51
1/24/19,101,480,78.47
1/28/19,91,571,78.43
2/1/19,99,498,78.39
2/5/19,95,534,77.34
2/9/19,73,725,74.7
2/13/19,95,529,74
2/17/19,325,80,74
2/21/19,370,63,74
2/25/19,365,65,74
3/1/19,354,69,74
3/4/19,360,67,74
3/8/19,365,65,74
3/12/19,346,72,74
3/16/19,323,81,74
3/20/19,362,66,74
3/24/19,315,84,74
3/28/19,323,81,74
4/1/19,304,88,74
4/5/19,333,77,74
4/9/19,299,90,74
4/13/19,325,80,74
4/17/19,312,85,74
4/21/19,271,102,74
4/25/19,325,80,74
4/28/19,296,91,74
5/2/19,302,89,74
5/6/19,260,113,74
