Date,Sales,Rank,Price
2019/2/16,266,107,39
2019/2/19,273,100,39
2019/2/21,269,104,39
2019/2/24,263,110,39
2019/2/27,288,94,39
2019/3/1,271,102,39
2019/3/4,291,93,39
2019/3/7,273,100,39
2019/3/10,304,88,39
2019/3/12,271,102,39
2019/3/15,294,92,39
2019/3/18,349,71,39
2019/3/20,280,97,39
2019/3/23,307,87,39
2019/3/26,315,84,39
2019/3/29,265,108,39
2019/3/31,294,92,39
2019/4/3,262,111,39
2019/4/6,291,93,39
2019/4/8,286,95,39
2019/4/11,333,77,39
2019/4/14,344,73,39
2019/4/17,280,97,39
2019/4/19,307,87,39
2019/4/22,325,80,39
2019/4/25,286,95,39
2019/4/27,291,93,39
2019/4/30,288,94,39
2019/5/3,250,123,39
2019/5/6,283,96,39
2019/5/8,272,101,39
2019/5/11,288,94,39
2019/5/14,267,106,39
2019/5/16,273,100,39
2019/5/19,309,86,39
2019/5/22,309,86,39
2019/5/25,263,110,39
2019/5/27,266,107,39
2019/5/30,296,91,39
2019/6/2,288,94,39
2019/6/4,269,104,39
2019/6/7,260,113,39
2019/6/10,260,113,39
2019/6/13,252,121,39
2019/6/15,258,115,39
2019/6/18,280,97,39
2019/6/21,278,98,39
2019/6/23,294,92,39
2019/6/26,302,89,39
2019/6/29,304,88,39
2019/7/2,336,76,39
2019/7/4,325,80,39
2019/7/7,336,76,39
2019/7/10,309,86,39
2019/7/12,304,88,39
2019/7/15,225,150,39
2019/7/18,244,130,39
2019/7/21,309,86,39
2019/7/23,280,97,39
2019/7/26,273,100,39
2019/7/29,299,90,39
2019/7/31,288,94,39
2019/8/3,283,96,39
2019/8/6,273,100,39
2019/8/9,309,86,39
2019/8/11,320,82,39
2019/8/14,317,83,39
2019/8/17,283,96,39
2019/8/19,317,83,39
2019/8/22,275,99,39
2019/8/25,309,86,39
2019/8/28,286,95,39
2019/8/30,271,102,39
2019/9/2,309,86,39
2019/9/5,307,87,39
2019/9/7,336,76,39
2019/9/10,299,90,39
2019/9/13,302,89,39
2019/9/16,325,80,39
2019/9/18,296,91,39
2019/9/21,264,109,39
2019/9/24,286,95,39
2019/9/26,288,94,39
2019/9/29,275,99,39
2019/10/2,270,103,39
2019/10/5,291,93,39
2019/10/7,304,88,39
2019/10/10,286,95,39
2019/10/13,265,108,39
2019/10/15,270,103,39
2019/10/18,258,115,39
2019/10/21,275,99,39
2019/10/24,302,89,39
2019/10/26,266,107,39
2019/10/29,270,103,39
2019/11/1,280,97,39
2019/11/3,273,100,39
2019/11/6,254,119,39
2019/11/9,252,121,39
2019/11/12,280,97,39
2019/11/14,253,120,39
2019/11/17,268,105,39
2019/11/20,254,119,39
2019/11/22,249,125,39
2019/11/25,236,138,39
2019/11/28,203,173,39
2019/12/1,206,169,39
2019/12/3,228,146,39
2019/12/6,249,125,39
2019/12/9,258,115,39
2019/12/11,258,115,39
2019/12/14,256,117,39
2019/12/17,253,120,39
2019/12/20,242,132,39
2019/12/22,236,138,39
2019/12/25,288,94,39
2019/12/28,283,96,39
2019/12/30,272,101,39
2020/1/2,312,85,39
2020/1/5,288,94,39
2020/1/8,269,104,39
2020/1/10,273,100,39
2020/1/13,304,88,39
2020/1/16,299,90,39
2020/1/18,304,88,39
2020/1/21,283,96,39
2020/1/24,270,103,39
2020/1/27,294,92,39
2020/1/29,264,109,39
2020/2/1,258,115,39
2020/2/4,266,107,39
2020/2/6,253,120,39
2020/2/9,265,108,39
2020/2/12,266,107,39
2020/2/15,253,120,39
2020/2/17,307,87,39
2020/2/20,255,118,39
2020/2/23,280,97,39
2020/2/25,275,99,39
2020/2/28,254,119,39
2020/3/2,273,100,39
2020/3/5,253,120,39
2020/3/7,256,117,39
2020/3/10,256,117,38.03
2020/3/13,256,117,36.4
2020/3/15,256,117,35.88
