Date,Sales,Rank,Price
2/12/19,320,82,79
2/16/19,341,74,79
2/21/19,346,72,79
2/25/19,344,73,79
3/2/19,349,71,79
3/6/19,352,70,79
3/10/19,352,70,79
3/15/19,312,85,79
3/19/19,362,66,79
3/23/19,373,62,79
3/28/19,344,73,79
4/1/19,357,68,79
4/6/19,354,69,79
4/10/19,331,78,79
4/14/19,346,72,79
4/19/19,296,91,79
4/23/19,309,86,79
4/27/19,328,79,79
5/2/19,323,81,79
5/6/19,296,91,79
5/11/19,286,95,79
5/15/19,291,93,79
5/19/19,339,75,79
5/24/19,325,80,79
5/28/19,344,73,79
6/2/19,352,70,79
6/6/19,349,71,79
6/10/19,323,81,79
6/15/19,339,75,79
6/19/19,323,81,79
6/23/19,333,77,79
6/28/19,354,69,79
7/2/19,357,68,79
7/7/19,376,61,79
7/11/19,339,75,79
7/15/19,283,96,79
7/20/19,307,87,79
7/24/19,344,73,79
7/28/19,341,74,79
8/2/19,333,77,79
8/6/19,280,97,79
8/11/19,357,68,79
8/15/19,325,80,79
8/19/19,341,74,79
8/24/19,320,82,79
8/28/19,352,70,79
9/1/19,315,84,79
9/6/19,257,116,79
9/10/19,323,81,79
9/15/19,325,80,79
9/19/19,315,84,79
9/23/19,291,93,79
9/28/19,312,85,79
10/2/19,294,92,79
10/7/19,320,82,79
10/11/19,312,85,79
10/15/19,296,91,79
10/20/19,307,87,79
10/24/19,312,85,79
10/28/19,299,90,79.54
11/2/19,291,93,80.44
11/6/19,291,93,81.16
11/11/19,273,100,82.06
11/15/19,309,86,82.78
11/19/19,336,76,83.5
11/24/19,265,108,79
11/28/19,255,118,79
12/2/19,260,113,79
12/7/19,323,81,79
12/11/19,320,82,79
12/16/19,349,71,79
12/20/19,344,73,79
12/24/19,344,73,79
12/29/19,357,68,79
1/2/20,378,60,79
1/6/20,362,66,79
1/11/20,360,67,79
1/15/20,346,72,79
1/20/20,349,71,79
1/24/20,349,71,79
1/28/20,368,64,79
2/2/20,368,64,79
2/6/20,362,66,79
2/11/20,346,72,79
2/15/20,336,76,78.99
2/19/20,354,69,78.99
2/24/20,352,70,78.98
2/28/20,352,70,78.96
3/3/20,365,65,78.86
3/8/20,331,78,78.41
